season,team_id,team_name,uci_division
2023,34592,AV Fatima-San Juan Biker Motos-Electro 3,Men's Junior
2023,36757,AVAI - FME Florianopolis - APGF,Men's Junior
2023,33282,AVC Aix-en-Provence,Men's Junior
2023,36297,AVC Khourigba,Men's Junior
2023,36298,AVC Safi,Men's Junior
2023,34851,Avenida Artigas de Guichon,Men's Junior
2023,34493,Avenir Cycling Yamanashi,Men's Junior
2023,34597,Avenir Cycliste de Cusset,Men's Junior
2023,37959,Avenir Yamanashi Yamanakako,Men's Junior
2023,38010,Aventura Victoria Racing,Men's Junior
2023,37526,Avia Racing Team,Men's Junior
2023,36118,Avimosa-Chozas Team,Men's Junior
2023,36378,Avinal GW El Carmen Viboral,Men's Junior
2023,36739,Aviron Bayonnais,Men's Junior
2023,37021,AVJ Tahannaout,Men's Junior
2023,36299,AVS Casablancaise de C,Men's Junior
2023,37408,Avulso,Men's Junior
2023,37119,AW Groep - Swabo CT,Men's Junior
2023,38382,AXIS Cycling Team,Men's Junior
2023,37133,B.C.2000 Borgomanero,Men's Junior
2023,37848,B.C.Macul,Men's Junior
2023,37266,B.H.Tunis,Men's Junior
2023,37775,Bache-JS.Dk,Men's Junior
2023,38089,Bad Doberaner,Men's Junior
2023,36569,Bahati Foundation,Men's Junior
2023,35556,Bahrain Cycling Academy,Men's Junior
2023,39381,Balaneras Team Zacapu,Men's Junior
2023,34861,Balba Cycle Racing Team,Men's Junior
2023,37948,Balba Racing Club Echizen,Men's Junior
2023,38015,Balba Racing Club Fukui,Men's Junior
2023,39439,Balba Racing Club Hakusan,Men's Junior
2023,34863,Balba Racing Club Kanazawa,Men's Junior
2023,37953,Balba Racing Club Takaoka,Men's Junior
2023,38459,Balba Racing Club Toyama,Men's Junior
2023,39272,Balbanera,Men's Junior
2023,37311,Ballymena RC,Men's Junior
2023,34781,Baloise Trek Lions,Men's Junior
2023,34622,Banbridge CC,Men's Junior
2023,37616,Bangalore Mavericks Racing,Men's Junior
2023,35407,Baqué Cycling Team,Men's Junior
2023,33575,Basso Team Flanders,Men's Junior
2023,37158,Bataia Brigade,Men's Junior
2023,37858,Bathurst,Men's Junior
2023,38733,Bauer Sport Cycling Team,Men's Junior
2023,38113,Bausch Factory Racing,Men's Junior
2023,38546,Bayelsa State,Men's Junior
2023,34611,Bayside Citroen,Men's Junior
2023,37186,Bazin C.H.Saone,Men's Junior
2023,38590,BBK Draj Krug Bihac,Men's Junior
2023,38613,BC Private Member,Men's Junior
2023,37943,BC.ANELLO,Men's Junior
2023,37428,BCC Race Team,Men's Junior
2023,38482,BD Sloga,Men's Junior
2023,36330,Beaupréau V.S.,Men's Junior
2023,39267,Beijing,Men's Junior
2023,39443,Belarus National Team,Men's Junior
2023,36929,Bellmare Racing Team,Men's Junior
2023,36668,Bellurgan Wheelers,Men's Junior
2023,34732,Bendigo &amp; District CC,Men's Junior
2023,33664,Benediction Kitei Pro 2020,Men's Junior
2023,39713,Bengo,Men's Junior
2023,37344,Bergen CK,Men's Junior
2023,39337,Berliner TSC,Men's Junior
2023,37547,Berthold Rad Team,Men's Junior
2023,34898,Best Buddies Racing,Men's Junior
2023,37513,Beuer Sport CT,Men's Junior
2023,33549,Béziers Méditerranée Cyclisme,Men's Junior
2023,38736,BFH,Men's Junior
2023,37780,BHST Cycling Team,Men's Junior
2023,37562,Bialini Gomola CCN,Men's Junior
2023,38130,Bic.Valdayo,Men's Junior
2023,39804,Bicharracos,Men's Junior
2023,36836,Bici Sprint Tarija,Men's Junior
2023,33965,Bicicletas Rodriguez-Extremadura,Men's Junior
2023,38837,Bicicletta di Maru,Men's Junior
2023,38762,Bicicletta Factory,Men's Junior
2023,37415,Bicycle Garage Nairobi,Men's Junior
2023,38540,Bicycle Habitat-Verge Sport,Men's Junior
2023,36642,Bicycle Haus,Men's Junior
2023,38522,Bicycle Works,Men's Junior
2023,34962,Bihar,Men's Junior
2023,39360,Bike &amp; Go Inverse,Men's Junior
2023,34601,BIKE AID Development,Men's Junior
2023,37794,Bike Center Pantanal,Men's Junior
2023,38610,Bike Fanatics,Men's Junior
2023,38116,Bike Inn Team,Men's Junior
2023,37550,Bike Market Team,Men's Junior
2023,37529,Bike UP Cycling,Men's Junior
2023,38102,BikeBeat RT - RSC Komet Ludwigsburg,Men's Junior
2023,38766,BikeGo-Inverse,Men's Junior
2023,37150,Bikemart,Men's Junior
2023,37213,Bikes Claessens-Jurdie Outdoor Concepts Racing Team,Men's Junior
2023,40468,Bikes SC,Men's Junior
2023,40373,Bikexpert CT,Men's Junior
2023,34859,Bingo Shimanami eNShare,Men's Junior
2023,34730,Binh Duong,Men's Junior
2023,36418,Bisiklet Hareketi SKD,Men's Junior
2023,40242,BJ Carter Builders,Men's Junior
2023,38311,Bjartur,Men's Junior
2023,38842,BK Bunbar,Men's Junior
2023,38481,BK Dinamo,Men's Junior
2023,38510,BK Dzada,Men's Junior
2023,38843,BK Ivanic,Men's Junior
2023,38509,BK Pljevlja,Men's Junior
2023,38846,BK Siroki,Men's Junior
2023,38587,BK Tuzla,Men's Junior
2023,38841,BK Zadar,Men's Junior
